[t=0] Log started.
[t=9] BUZZ: 9-2.67557
[t=9] BUZZ: 19-3.13392
[t=9] BUZZ: 27-1.99871
[t=9] BUZZ: 29-2.3865
[t=9] BUZZ: 23-3.64456
[t=9] BUZZ: 24-3.09728
[t=9] BUZZ: 22-1.3609
[t=9] BUZZ: 26-3.35233
[t=9] BUZZ: 25-1.85865
[t=9] BUZZ: 32-3.66205
[t=9] BUZZ: 33-2.94779
[t=9] BUZZ: 31-3.78109
[t=9] BUZZ: 34-2.71334
[t=9] BUZZ: 30-5.4113
[t=9] BUZZ: 35-2.58328
[t=9] BUZZ: 38-2.56124
[t=9] BUZZ: 39-2.4985
[t=9] BUZZ: 0-2.92626
[t=9] BUZZ: 1-2.88517
[t=9] BUZZ: 2-2.6853
[t=9] BUZZ: 3-1.81584
[t=9] BUZZ: 5-1.15888
[t=9] BUZZ: 7-2.00931
[t=9] BUZZ: 14-3.48593
[t=9] BUZZ: 11-2.56779
[t=9] BUZZ: 8-0.715934
[t=9] BUZZ: 12-0.529393
[t=9] BUZZ: 17-4.09912
[t=9] BUZZ: 18-3.4767
[t=9] BUZZ: 21-1.6661
[t=9] BUZZ: 28-1.5167
[t=10] BUZZ: 4-4.23635
[t=10] BUZZ: 30-5.4113
[t=10] BUZZ: 36-2.78463
[t=10] BUZZ: 38-2.56124
[t=10] BUZZ: 7-2.00931
[t=10] BUZZ: 13-4.10956
[t=10] BUZZ: 19-3.13392
[t=10] BUZZ: 20-3.71427
[t=10] BUZZ: 33-2.94779
[t=10] BUZZ: 31-3.78109
[t=10] BUZZ: 34-2.71334
[t=10] BUZZ: 24-3.09728
[t=10] BUZZ: 1-2.88517
[t=10] BUZZ: 2-2.6853
[t=10] BUZZ: 3-1.81105
[t=10] BUZZ: 5-1.15888
[t=10] BUZZ: 6-3.78513
[t=10] BUZZ: 10-3.02936
[t=10] BUZZ: 14-3.48593
[t=10] BUZZ: 15-3.44076
[t=10] BUZZ: 11-2.56779
[t=10] BUZZ: 9-2.67575
[t=10] BUZZ: 17-4.09912
[t=10] BUZZ: 18-3.47173
[t=10] BUZZ: 16-3.20275
[t=10] BUZZ: 23-3.64456
[t=10] BUZZ: 22-1.3609
[t=10] BUZZ: 26-3.35196
[t=10] BUZZ: 27-1.99871
[t=10] BUZZ: 21-1.6661
[t=10] BUZZ: 25-1.85865
[t=10] BUZZ: 32-3.66205
[t=10] BUZZ: 29-2.3865
[t=10] BUZZ: 37-3.84107
[t=10] BUZZ: 0-2.92626
[t=10] BUZZ: 8-0.715934
[t=10] BUZZ: 35-2.58328
[t=10] BUZZ: 39-2.4985
[t=10] BUZZ: 12-0.529393
[t=10] BUZZ: 28-1.5167
[t=11] BUZZ: 30-5.4113
[t=11] BUZZ: 36-2.78463
[t=11] BUZZ: 37-3.83779
[t=11] BUZZ: 0-2.92626
[t=11] BUZZ: 1-2.88517
[t=11] BUZZ: 2-2.6853
[t=11] BUZZ: 3-1.80626
[t=11] BUZZ: 4-4.23635
